,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,residential_complex,square_price
35,ID 13121751,realtor,Серпухов,sale,flat,7,10,3,65.0,8800000.0,2014,Вторичка,unknown,unknown,22.0,8.7,2.7,Серпухов,Весенняя ,unknown,unknown,135384.61538461538
36,Сергей Михайлов,realtor,Серпухов,sale,flat,2,5,3,54.0,5400000.0,1966,Вторичка,unknown,unknown,39.0,6.0,2.7,Серпухов, Лермонтова,unknown,unknown,100000.0
37,ДОМ,real_estate_agent,Серпухов,sale,flat,1,5,3,67.0,8300000.0,1973,Вторичка,1 лоджия,Наземная,41.0,9.0,2.5,Серпухов, Космонавтов,unknown,unknown,123880.59701492537
39,Портал Недвижимости,real_estate_agent,Серпухов,sale,flat,4,5,2,45.5,5380000.0,1971,Вторичка,1 балкон,Наземная,32.5,6.0,2.6,Серпухов,Советская ,unknown,unknown,118241.75824175825
40,ID 111337299,homeowner,Серпухов,sale,flat,1,1,2,46.0,3650000.0,1957,Вторичка,unknown,Наземная,22.0,6.0,2.7,Серпухов, Водников,unknown,unknown,79347.82608695653
41,ID 19536560,realtor,Серпухов,sale,flat,7,9,2,42.9,4500000.0,1971,Вторичка,1 балкон,Наземная,27.4,5.7,2.5,Серпухов, Дзержинского,unknown,unknown,104895.1048951049
42,Домовой,real_estate_agent,Серпухов,sale,flat,2,14,2,38.4,6700000.0,2013,Вторичка,2 лоджии,Наземная,17.0,11.0,2.7,Серпухов, Ворошилова,unknown,по ул. Ворошилова,174479.1666666667
43,ID 72566451,homeowner,Серпухов,sale,flat,1,9,2,48.0,4200000.0,1981,Вторичка,unknown,unknown,22.0,11.0,2.7,Серпухов,проезд Мишина,unknown,unknown,87500.0
44,Самолет плюс,real_estate_agent,Серпухов,sale,flat,2,2,2,71.3,6700000.0,2014,Вторичка,1 лоджия,unknown,28.0,8.0,2.7,Серпухов,Советская ,unknown,unknown,93969.14446002805
45,Мир Недвижимости,real_estate_agent,Серпухов,sale,flat,2,5,2,47.0,4999999.0,1972,Вторичка,1 лоджия,unknown,33.0,7.5,2.7,Серпухов, Ворошилова,unknown,unknown,106382.9574468085
46,Спутник,real_estate_agent,Серпухов,sale,flat,4,14,2,64.0,9200000.0,2014,Вторичка,1 лоджия,Наземная,39.0,13.5,2.7,Серпухов,Стадионная ,unknown,Жемчужина,143750.0
47,Ольга Скалаух,realtor,Серпухов,sale,flat,1,2,2,40.0,3700000.0,1959,Вторичка,unknown,Наземная,27.0,5.0,2.5,Серпухов,Октябрьская ,unknown,unknown,92500.0
48,Мир Недвижимости,real_estate_agent,Серпухов,sale,flat,2,5,2,47.0,4050000.0,1971,Вторичка,1 балкон,unknown,34.0,6.5,2.6,Серпухов,Подольская ,unknown,unknown,86170.21276595745
49,Ольга Туренко,realtor,Серпухов,sale,flat,6,6,2,56.8,4950000.0,2004,Вторичка,unknown,Наземная,30.0,10.0,3.0,Серпухов, Карла Маркса,unknown,unknown,87147.88732394367
50,РОСБАНК,real_estate_agent,Серпухов,sale,flat,1,5,2,44.7,3900000.0,1968,Вторичка,unknown,unknown,30.7,5.8,2.7,Серпухов,Центральная ,unknown,unknown,87248.32214765101
51,Мир Недвижимости,real_estate_agent,Серпухов,sale,flat,1,4,2,41.0,3499888.0,1962,Вторичка,unknown,unknown,29.0,6.0,2.7,Серпухов, Горького,unknown,unknown,85363.12195121951
52,ID 51002482,realtor,Серпухов,sale,flat,4,5,2,45.9,3850000.0,1969,Вторичка,1 балкон,Наземная,22.0,6.0,2.7,Серпухов,Весенняя ,unknown,unknown,83877.99564270153
53,Акцент недвижимость - Чехов,real_estate_agent,Серпухов,sale,flat,4,9,2,52.0,7300000.0,2014,Вторичка,unknown,unknown,38.0,9.0,2.7,Красный Текстильщик мкр, Красный Текстильщик,unknown,unknown,140384.61538461538
54,Мир Недвижимости,real_estate_agent,Серпухов,sale,flat,5,5,2,53.5,4999999.0,1973,Вторичка,1 лоджия,unknown,28.9,9.0,2.7,Серпухов, Энгельса,unknown,unknown,93457.92523364486
55,ID 90063081,homeowner,Серпухов,sale,flat,1,5,2,46.0,4850000.0,2014,Вторичка,unknown,Наземная,26.0,6.0,2.5,Серпухов,Осенняя ,unknown,unknown,105434.78260869565
57,ID 91514771,homeowner,Серпухов,sale,flat,2,9,1,38.4,4600000.0,1984,Вторичка,1 лоджия,Наземная,15.0,9.0,2.7,Серпухов,Комсомольская ,unknown,unknown,119791.66666666667
58,ID 55855083,homeowner,Серпухов,sale,flat,4,6,1,38.9,4000000.0,2009,Вторичка,unknown,Наземная,13.0,11.2,2.8,Серпухов, Химиков,unknown,unknown,102827.76349614396
59,Сергей Ягодкин,realtor,Серпухов,sale,flat,3,5,1,30.3,3500000.0,1972,Вторичка,1 балкон,Наземная,18.0,6.0,2.6,Серпухов,Западная ,unknown,unknown,115511.5511551155
60,Веста,real_estate_agent,Дубна,sale,flat,5,5,1,33.0,3700000.0,2014,Вторичка,1 балкон,unknown,15.0,6.0,2.7,Дубна, Правды,unknown,unknown,112121.21212121213
61,Партнеры,real_estate_agent,Дубна,sale,flat,2,5,1,31.2,4900000.0,2014,Вторичка,unknown,unknown,18.0,7.0,2.7,Дубна, Мичурина,unknown,unknown,157051.28205128206
62,ID 444346,realtor,Дубна,sale,flat,8,10,1,34.0,6000000.0,1970,Вторичка,1 лоджия,Наземная,18.2,7.8,2.6,Дубна, Строителей,unknown,unknown,176470.58823529413
63,Илья Шишкин,realtor,Дубна,sale,flat,5,9,1,50.0,9550000.0,2019,Вторичка,1 балкон,Наземная,25.0,10.0,2.7,Дубна, Программистов,unknown,на ул. Программистов,191000.0
65,ID 99174229,homeowner,Дубна,sale,flat,4,4,1,31.3,5750000.0,2014,Вторичка,1 балкон,Наземная,18.0,6.0,2.7,Дубна, Курчатова,unknown,unknown,183706.07028753994
67,РанДв,real_estate_agent,Дубна,sale,flat,3,4,1,45.5,7100000.0,1956,Вторичка,1 балкон,Наземная,18.0,10.0,2.7,Дубна,Октябрьская ,unknown,unknown,156043.95604395604
68,Этажи Дмитров,real_estate_agent,Дубна,sale,flat,4,9,1,32.2,5210000.0,1978,Вторичка,unknown,unknown,15.0,6.0,2.6,Дубна, Энтузиастов,unknown,unknown,161801.24223602482
69,Ольга Коновалова,realtor,Дубна,sale,flat,9,14,1,39.0,8100000.0,2014,Вторичка,1 лоджия,Наземная,17.0,8.0,2.7,Дубна, Мичурина,unknown,unknown,207692.3076923077
70,Илья Шишкин,realtor,Дубна,sale,flat,5,9,1,29.0,5700000.0,2014,Вторичка,1 балкон,Наземная,14.0,8.0,2.5,Дубна,9 Мая ,unknown,unknown,196551.72413793104
73,Партнеры,real_estate_agent,Дубна,sale,flat,3,9,1,38.8,6500000.0,2014,Вторичка,1 лоджия,unknown,20.0,8.0,2.7,Дубна, Понтекорво,unknown,unknown,167525.7731958763
74,МАКРУС,real_estate_agent,Дубна,sale,flat,6,6,1,31.6,5800000.0,2003,Вторичка,unknown,Наземная,18.0,6.5,2.5,Дубна,Первомайский проезд,unknown,unknown,183544.30379746834
75,ID 24000277,realtor,Дубна,sale,flat,3,4,1,32.3,5900000.0,1963,Вторичка,unknown,Наземная,18.0,6.0,2.7,Дубна, В.И. Векслера,unknown,unknown,182662.53869969043
76,Яна Кукушкина,realtor,Дубна,sale,flat,4,9,1,38.3,6100000.0,2014,Вторичка,1 лоджия,Наземная,19.3,7.5,2.7,Дубна, Энтузиастов,unknown,unknown,159268.92950391647
77,ID 9624898,realtor,Дубна,sale,flat,2,9,1,37.2,6200000.0,2014,Вторичка,1 лоджия,Наземная,20.7,7.9,2.7,Дубна, Энтузиастов,unknown,unknown,166666.66666666666
78,unknown,unknown,Дубна,sale,flat,7,14,2,75.4,10103600.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,unknown,Феникс,134000.0
79,ID 98412708,realtor,Дубна,sale,flat,8,9,2,59.0,9900000.0,2014,Вторичка,2 лоджии,Наземная,22.0,9.0,2.7,Дубна, Понтекорво,unknown,unknown,167796.61016949153
80,Татьяна Рушай,realtor,Дубна,sale,flat,1,2,2,47.7,5500000.0,1952,Вторичка,unknown,Наземная,33.0,4.1,3.0,Дубна, Курчатова,unknown,unknown,115303.98322851153
81,unknown,unknown,Дубна,sale,flat,2,9,2,69.3,9979200.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,Дубна, Программистов,unknown,по ул. Макаренко,144000.0
83,Михаил Канаков,realtor,Дубна,sale,flat,2,14,2,50.7,7000000.0,1973,Вторичка,1 лоджия,Наземная,32.0,8.0,2.7,Дубна, В.И. Векслера,unknown,unknown,138067.0611439842
84,unknown,unknown,Дубна,sale,flat,1,9,2,75.1,10664200.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,Дубна, Программистов,unknown,по ул. Макаренко,142000.0
85,Михаил Саввотин,realtor,Дубна,sale,flat,3,9,2,51.0,8700000.0,2014,Вторичка,1 лоджия,unknown,28.6,7.7,2.7,Дубна, Энтузиастов,unknown,unknown,170588.23529411765
86,Этажи Дмитров,real_estate_agent,Дубна,sale,flat,9,9,2,54.3,8200000.0,1995,Вторичка,1 лоджия,Наземная,30.0,8.1,2.7,Дубна, Понтекорво,unknown,unknown,151012.89134438307
87,unknown,unknown,Дубна,sale,flat,1,9,2,67.7,9613400.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,Дубна, Программистов,unknown,по ул. Макаренко,142000.0
88,ID 7487124,homeowner,Дубна,sale,flat,1,9,2,57.4,7800000.0,1976,Вторичка,1 лоджия,Наземная,30.0,9.0,2.5,Дубна, Энтузиастов,unknown,unknown,135888.50174216027
89,unknown,unknown,Дубна,sale,flat,9,9,2,69.5,10147000.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,Дубна, Программистов,unknown,по ул. Макаренко,146000.0
90,Эксперт,real_estate_agent,Дубна,sale,flat,9,12,2,69.3,12000000.0,2014,Вторичка,2 лоджии,unknown,41.5,9.3,2.73,Дубна,Тверская ,unknown,unknown,173160.17316017317
91,Горсправка,real_estate_agent,Дубна,sale,flat,2,2,2,59.3,9700000.0,1952,Вторичка,1 балкон,Наземная,31.2,10.2,3.0,Дубна, Ленина,unknown,unknown,163575.04215851604
94,ID 68344166,unknown,Дубна,sale,flat,2,5,3,64.4,12700000.0,2004,Вторичка,1 лоджия,Наземная,50.0,8.5,2.7,Дубна,проспект Боголюбова,unknown,unknown,197204.96894409935
96,Илья Шишкин,realtor,Дубна,sale,flat,13,14,3,75.3,13200000.0,1982,Вторичка,1 лоджия,Наземная,48.8,9.1,2.7,Дубна, Понтекорво,unknown,unknown,175298.8047808765
97,Любовь Косолапова,realtor,Дубна,sale,flat,3,4,3,55.1,7600000.0,1956,Вторичка,1 балкон,Наземная,37.0,4.5,2.7,Дубна, Мира,unknown,unknown,137931.0344827586
100,Яна Кукушкина,realtor,Дубна,sale,flat,3,9,3,56.4,7700000.0,2014,Вторичка,1 балкон,Наземная,37.7,6.7,2.7,Дубна, Энтузиастов,unknown,unknown,136524.82269503546
102,Самолет Плюс,real_estate_agent,Дубна,sale,flat,9,9,3,60.6,10500000.0,2014,Вторичка,1 лоджия,unknown,39.4,7.9,2.7,Дубна, Попова,unknown,unknown,173267.32673267327
103,Любовь Косолапова,realtor,Дубна,sale,flat,2,2,3,81.0,13500000.0,1953,Вторичка,unknown,Наземная,52.0,10.0,3.0,Дубна,Центральная ,unknown,unknown,166666.66666666666
119,PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,11,12,1,33.5,8000000.0,1972,Вторичка,1 балкон,Наземная,17.0,7.0,2.5,Чертаново Южное,3-й Дорожный проезд,Улица Академика Янгеля,unknown,238805.97014925373
122,ID 148596,homeowner,Москва,sale,flat,10,10,1,38.5,11280000.0,1994,Вторичка,1 лоджия,unknown,20.7,8.4,2.7,Выхино-Жулебино,Жулебинский бульвар,Лермонтовский проспект,unknown,292987.012987013
125,PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,9,14,1,38.5,7000000.0,1993,Вторичка,1 балкон,Наземная,18.0,8.0,2.64,Крюково,Зеленоград,Зеленоград — Крюково,unknown,181818.18181818182
126,EstateLiga,real_estate_agent,Москва,sale,flat,3,15,1,54.0,14500000.0,2016,Вторичка,1 лоджия,Подземная,30.0,12.0,2.8,unknown, Татьянин Парк,Говорово,Татьянин Парк,268518.51851851854
128,ОГРК,real_estate_agent,Москва,sale,flat,3,9,1,33.0,9100000.0,1978,Вторичка,unknown,unknown,18.0,6.0,2.7,Ясенево, Рокотова,Ясенево,unknown,275757.57575757575
136,unknown,unknown,Москва,sale,flat,2,7,1,43.14,7204380.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Рассказовка,Эдельвейс ЖК,167000.0
168,unknown,unknown,Москва,sale,flat,2,9,3,80.8,10180800.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Крёкшино,Эдельвейс ЖК,126000.0
169,ФСК,developer,Москва,sale,flat,2,15,3,59.3,11539780.0,2025,Новостройка / Апартаменты,unknown,Наземная,40.5,5.1,2.82,unknown,unknown,Солнцево,Движение. Говорово ЖК,194600.0
170,А101,developer,Москва,sale,flat,8,19,3,67.9,12225117.0,2025,Новостройка,"1 лоджия, 1 балкон",unknown,42.6,18.3,2.8,unknown,unknown,Бунинская аллея,Бунинские Кварталы ЖК,180045.9057437408
171,Новые Ватутинки,developer,Москва,sale,flat,13,14,3,54.3,12634000.0,2026,Новостройка,"1 лоджия, 1 балкон",unknown,34.0,3.8,2.85,unknown,unknown,Кедровая,"Новые Ватутинки, мкр. Заречный",232670.34990791898
173,Plus Development,developer,Москва,sale,flat,2,23,3,79.1,14144694.0,2026,Новостройка,unknown,Наземная,40.4,16.2,2.7,unknown,unknown,Филатов Луг,Детали ЖК,178820.40455120103
197,РГ-Девелопмент,developer,Москва,sale,flat,9,30,2,56.8,12973574.0,2025,Новостройка / Апартаменты,unknown,unknown,23.9,14.0,3.0,Чертаново Южное,unknown,Аннино,Варшавские Ворота ЖК,228407.9929577465
202,Этажи Москва,real_estate_agent,Москва,sale,flat,3,5,2,44.5,13700000.0,1959,Вторичка,1 балкон,Наземная,22.0,6.0,2.7,Аэропорт,1-й Амбулаторный проезд,Красный Балтиец,unknown,307865.1685393258
203,CENTURY 21 RnB Estate,real_estate_agent,Москва,sale,flat,6,17,2,61.0,13850000.0,2008,Вторичка,2 лоджии,unknown,33.0,13.0,2.7,unknown, Солнечная,Рассказовка,Град Московский,227049.18032786885
215,Ордер,real_estate_agent,Москва,sale,flat,5,9,2,59.3,8200000.0,2024,Новостройка,1 лоджия,Подземная,31.7,10.2,2.7,unknown, Луговая,Крёкшино,Эдельвейс,138279.9325463744
216,Новые Ватутинки,developer,Москва,sale,flat,2,12,2,35.9,8193000.0,2026,Новостройка,1 лоджия,unknown,22.1,2.9,2.85,unknown,unknown,Кедровая,"Новые Ватутинки, мкр. Заречный",228217.27019498608
221,ID 73038306,real_estate_agent,Москва,sale,flat,7,9,1,32.0,13950000.0,1962,Вторичка,1 балкон,Наземная,18.4,6.0,2.64,Савеловский,Бутырская ,Дмитровская,unknown,435937.5
227,ID 81467774,homeowner,Москва,sale,flat,3,17,1,38.0,13900000.0,2006,Вторичка,1 лоджия,Наземная,19.0,7.3,2.65,Свиблово,Вересковая ,Свиблово,unknown,365789.4736842105
230,The Smitt,real_estate_agent,Москва,sale,flat,5,9,1,32.7,7900000.0,1969,Вторичка,unknown,Открытая,18.0,6.7,2.7,Выхино-Жулебино,Ферганский проезд,Юго-Восточная,unknown,241590.21406727826
233,ID 96167522,realtor,Москва,sale,flat,9,9,1,36.9,8850000.0,1980,Вторичка,unknown,unknown,22.0,8.7,2.5,Люблино, Верхние Поля,Братиславская,unknown,239837.39837398374
234,РГ-Девелопмент,developer,Москва,sale,flat,2,9,1,27.4,10921092.0,2026,Новостройка,unknown,Подземная,16.2,4.0,3.0,Головинский,Северный ао,Коптево,Михалковский ЖК,398580.0
236,На Петровке,real_estate_agent,Москва,sale,flat,3,12,1,39.0,9999000.0,1971,Вторичка,1 балкон,Открытая,24.0,6.5,2.51,Преображенское,2-я Пугачевская ,Преображенская площадь,unknown,256384.61538461538
