,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,residential_complex,square_price
1188,ID 25972082,realtor,Москва,sale,flat,1,2,1,28.3,9650000.0,2014,Вторичка / Апартаменты,unknown,Наземная,23.0,3.0,2.7,Басманный,Большая Почтовая ,Бауманская,unknown,340989.3992932862
1189,ПИК,developer,Москва,sale,flat,15,17,1,28.3,7061387.0,2026,Новостройка,unknown,Открытая,14.1,7.5,2.62,unknown, Мостотреста,Щербинка,Юнино,249518.97526501765
1190,Самолет,developer,Москва,sale,flat,1,5,1,36.27,7339126.0,2025,Новостройка,unknown,Открытая,9.7,11.5,2.7,unknown,unknown,Рассказовка,Новое Внуково ЖК,202347.00854700853
1191,ЛСР,developer,Москва,sale,flat,8,23,1,20.4,7549632.0,2025,Новостройка,unknown,unknown,10.6,3.7,2.7,Чертаново Центральное,unknown,Пражская,Парксайд ЖК,370080.0
1194,Абсолют Недвижимость,developer,Москва,sale,flat,1,17,1,25.3,8212078.0,2026,Новостройка,unknown,Многоуровневая,11.0,8.7,2.7,unknown,unknown,Мичуринец,Переделкино Ближнее Город-парк,324588.0632411067
1197,Абсолют Недвижимость,developer,Москва,sale,flat,8,22,1,25.9,8968169.0,2025,Новостройка,unknown,Наземная,13.5,8.7,2.7,unknown,unknown,Рассказовка,Город-парк Первый Московский,346261.35135135136
1198,СЕТЬСТРОЙ БАЛАШИХА,developer,Балашиха,sale,flat,9,17,1,32.0,6496000.0,2024,Новостройка,unknown,unknown,10.1,14.0,2.72,г. Балашиха,ул. Твардовского,Новокосино,Квартал Светлый ЖК,203000.0
1199,ID 11152207,unknown,Балашиха,sale,flat,17,25,1,41.9,6300000.0,2013,Вторичка,1 лоджия,Наземная,22.0,11.5,2.8,unknown,unknown,Щёлковская,Гагаринский,150357.9952267303
1200,Александр Кубышев,realtor,Балашиха,sale,flat,2,16,1,32.0,4990000.0,1987,Вторичка,unknown,Наземная,18.0,7.5,2.7,unknown, Октябрьская,Железнодорожная,unknown,155937.5
1202,БАРС Лизинг,real_estate_agent,Балашиха,sale,flat,3,24,1,46.8,7773000.0,2022,Вторичка,1 балкон,Наземная,22.0,12.2,2.7,unknown, Разина,Салтыковская,28 микрорайон,166089.7435897436
1203,Первое агентство,real_estate_agent,Балашиха,sale,flat,4,5,1,29.3,3999000.0,2014,Вторичка,1 балкон,Наземная,17.9,7.0,2.7,unknown,Леоновское шоссе,Кучино,unknown,136484.64163822526
1204,Самолет,developer,Балашиха,sale,flat,12,22,1,32.8,6545224.0,2024,Новостройка,unknown,Открытая,11.8,11.8,2.74,unknown, Бояринова,Ольгино,Новоград Павлино,199549.51219512196
1205,БАРС Лизинг,real_estate_agent,Балашиха,sale,flat,14,24,1,41.3,7100000.0,2022,Вторичка,1 лоджия,Наземная,17.0,10.0,2.7,unknown, Разина,Салтыковская,28 микрорайон,171912.8329297821
1206,ID 408732,homeowner,Балашиха,sale,flat,5,25,1,33.7,5400000.0,2013,Вторичка,1 лоджия,Наземная,15.2,8.3,2.7,unknown,Балашихинское шоссе,Щёлковская,Лесной городок,160237.38872403558
1208,БАРС Лизинг,real_estate_agent,Балашиха,sale,flat,13,24,1,41.4,7100000.0,2022,Вторичка,"1 лоджия, 1 балкон",Наземная,22.0,11.4,2.7,unknown, Разина,Салтыковская,28 микрорайон,171497.5845410628
1209,Брусника Обмен,real_estate_agent,Балашиха,sale,flat,12,17,1,36.0,5750000.0,2021,Вторичка,1 лоджия,unknown,18.0,9.0,2.7,unknown,шоссе Косинское,Ольгино,Новоград Павлино,159722.22222222222
1210,Самолет,developer,Балашиха,sale,flat,12,22,1,36.9,6354734.0,2025,Новостройка,unknown,Открытая,11.3,17.2,2.74,unknown,unknown,Некрасовка,Новоград Павлино,172215.0135501355
1212,Ваши Соседи Торги,real_estate_agent,Балашиха,sale,flat,3,6,1,36.9,4428000.0,2019,Вторичка,1 балкон,Наземная,16.6,10.4,2.8,unknown,Школьная ,Салтыковская,Квартал Европа,120000.0
1214,Макспол Парк Культуры,real_estate_agent,Балашиха,sale,flat,6,20,1,45.5,4900000.0,2015,Вторичка,1 лоджия,unknown,20.8,12.0,3.0,unknown, Чистопольская,Щёлковская,Эдельвейс-Комфорт,107692.30769230769
1215,МГСН-Центр оформления,real_estate_agent,Балашиха,sale,flat,3,9,1,32.5,5150000.0,1980,Вторичка,1 балкон,Наземная,22.0,6.5,2.7,unknown,unknown,Щёлковская,unknown,158461.53846153847
1217,Этажи Москва,real_estate_agent,Балашиха,sale,flat,7,17,1,37.8,5700000.0,2006,Вторичка,unknown,Наземная,22.0,7.3,2.75,unknown, Твардовского,Кучино,unknown,150793.6507936508
1218,Вариант,real_estate_agent,Балашиха,sale,flat,1,18,1,32.1,5100000.0,2016,Вторичка,unknown,Наземная,22.0,9.6,2.7,unknown, Лесопарковая,Железнодорожная,unknown,158878.5046728972
1219,Самолет,developer,Балашиха,sale,flat,9,22,1,32.6,6049982.0,2024,Новостройка,unknown,Открытая,11.8,11.8,2.74,unknown, Бояринова,Ольгино,Новоград Павлино,185582.2699386503
1220,Космополис,real_estate_agent,Балашиха,sale,flat,4,6,1,47.0,7850000.0,2019,Вторичка,1 лоджия,unknown,24.0,10.0,2.8,unknown,Школьная ,Салтыковская,Квартал Европа,167021.27659574468
1221,Ольга Смульская,realtor,Балашиха,sale,flat,8,27,1,43.6,6150000.0,2014,Вторичка,1 лоджия,Наземная,12.0,10.0,2.7,unknown,unknown,Щёлковская,Булганинский (Щитниковский лес),141055.04587155962
1222,Самолет,developer,Балашиха,sale,flat,17,22,1,36.9,5955003.0,2025,Новостройка,unknown,Открытая,11.3,17.2,2.74,unknown,unknown,Некрасовка,Новоград Павлино,161382.19512195123
1223,ОГРК,real_estate_agent,Балашиха,sale,flat,7,21,1,34.5,6499000.0,2021,Вторичка,1 лоджия,Открытая,15.0,11.0,2.7,unknown,проспект Героев,Железнодорожная,unknown,188376.8115942029
1224,ОГРК,real_estate_agent,Балашиха,sale,flat,14,14,1,38.0,5700000.0,1993,Вторичка,1 лоджия,Наземная,18.0,8.0,2.7,unknown, Октябрьская,Железнодорожная,unknown,150000.0
1226,ID 54328338,homeowner,Балашиха,sale,flat,6,16,1,35.0,4999000.0,1990,Вторичка,1 лоджия,Наземная,18.0,10.0,2.7,unknown, Объединения,Салтыковская,unknown,142828.57142857142
1227,Этажи Москва,real_estate_agent,Балашиха,sale,flat,3,17,1,32.0,5400000.0,2023,Вторичка,unknown,unknown,22.0,10.0,2.8,unknown, Безымянная,Железнодорожная,unknown,168750.0
1229,СТРОЙИНВЕСТ,real_estate_agent,Балашиха,sale,flat,16,16,1,35.2,5850000.0,2020,Вторичка,1 лоджия,Наземная,14.1,13.3,2.8,unknown, Струве,Железнодорожная,Центр-2,166193.1818181818
1230,Владимир Тарасов,realtor,Балашиха,sale,flat,3,17,1,44.0,5500000.0,2008,Вторичка,1 лоджия,Наземная,20.0,8.5,2.7,unknown, Свердлова,Щёлковская,unknown,125000.0
1231,МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,Балашиха,sale,flat,14,17,1,38.1,5950000.0,2014,Вторичка,1 балкон,unknown,19.0,8.4,2.7,unknown, Граничная,Ольгино,unknown,156167.97900262466
1232,Ваши Соседи Торги,real_estate_agent,Балашиха,sale,flat,9,18,1,40.5,5850000.0,2011,Вторичка,1 лоджия,Наземная,20.0,10.0,2.8,unknown, Ситникова,Реутов,Новое Измайлово,144444.44444444444
1233,Самолет,developer,Балашиха,sale,flat,16,22,1,33.61,5759412.0,2025,Новостройка,unknown,Открытая,12.3,11.6,2.74,unknown,unknown,Некрасовка,Новоград Павлино,171360.07140731925
1235,АНПЛАНЕТА,real_estate_agent,Балашиха,sale,flat,2,12,1,41.0,4800000.0,1983,Вторичка,1 балкон,unknown,18.0,10.0,2.7,unknown,Спортивная ,Салтыковская,unknown,117073.17073170732
1237,Гранд Сервис Недвижимость,real_estate_agent,Балашиха,sale,flat,2,14,1,38.0,6999000.0,2010,Вторичка,1 балкон,Наземная,20.0,8.5,2.74,unknown,бульвар Молодежный,Щёлковская,Щитниково Янтарный,184184.2105263158
1238,Галина Зенина,realtor,Балашиха,sale,flat,5,9,1,20.5,3900000.0,1984,Вторичка,unknown,Наземная,12.0,4.5,2.5,unknown, 40 лет Победы,Салтыковская,unknown,190243.9024390244
1239,Самолет,developer,Балашиха,sale,flat,12,17,1,36.04,5939500.0,2026,Новостройка,unknown,Открытая,10.2,18.1,3.0,unknown,unknown,Салтыковская,Квартал Авиаторов ЖК,164802.99667036626
1240,Доступная Недвижимость. 8 отдел,real_estate_agent,Балашиха,sale,flat,3,10,1,33.1,5150000.0,2014,Вторичка,1 балкон,Наземная,17.0,8.7,2.7,unknown, Свердлова,Щёлковская,unknown,155589.1238670695
1241,ID 25287945,unknown,Балашиха,sale,flat,7,20,1,37.0,5500000.0,2016,Вторичка,1 лоджия,Наземная,16.7,9.0,2.7,unknown, Шестая,Железнодорожная,Ольгино Парк,148648.64864864864
1243,Виталий Климович,realtor,Балашиха,sale,flat,12,17,1,39.5,6600000.0,2016,Вторичка,1 лоджия,unknown,19.0,10.0,2.7,unknown, Андрея Белого,Железнодорожная,unknown,167088.6075949367
1245,СЕТЬСТРОЙ БАЛАШИХА,developer,Балашиха,sale,flat,11,17,1,31.7,6561900.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.72,г. Балашиха,ул. Твардовского,Новокосино,Квартал Светлый ЖК,207000.0
1246,Century 21 Харламов,real_estate_agent,Балашиха,sale,flat,7,9,1,32.4,5555555.0,1968,Вторичка,1 балкон,unknown,19.4,6.0,2.7,unknown, Победы,Салтыковская,unknown,171467.74691358025
1247,Центр дистанционных торгов,real_estate_agent,Балашиха,sale,flat,11,11,1,40.5,5310000.0,2014,Вторичка,unknown,unknown,22.0,8.7,2.7,unknown, Ситникова,Салтыковская,Новое Измайлово,131111.11111111112
1249,МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,Балашиха,sale,flat,9,18,1,30.7,5600000.0,2014,Вторичка,1 лоджия,unknown,12.0,9.1,2.7,unknown,бульвар Спасский,Железнодорожная,Столичный,182410.42345276874
1250,DREAM HOUSE,real_estate_agent,Балашиха,sale,flat,5,16,1,41.0,6300000.0,2015,Вторичка,1 балкон,unknown,16.2,12.2,2.7,unknown, Брагина,Кучино,Леоновский парк,153658.53658536586
1251,Самолет,developer,Балашиха,sale,flat,7,22,1,36.9,6630488.0,2024,Новостройка,unknown,Открытая,10.9,18.2,2.74,unknown, Бояринова,Ольгино,Новоград Павлино,179688.0216802168
1252,Наталья Сказка,realtor,Балашиха,sale,flat,17,17,1,35.0,6590000.0,2011,Вторичка,1 балкон,Наземная,16.0,9.0,2.7,unknown, Колдунова,Щёлковская,unknown,188285.7142857143
1253,Челофт,real_estate_agent,Балашиха,sale,flat,18,21,1,40.2,5700000.0,2011,Вторичка,1 балкон,Наземная,30.0,5.0,2.8,unknown, Граничная,Ольгино,unknown,141791.04477611938
1255,МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,Балашиха,sale,flat,10,22,1,34.0,7100000.0,2018,Вторичка,1 лоджия,unknown,15.0,10.0,2.7,unknown,шоссе Косинское,Ольгино,Новоград Павлино,208823.5294117647
1256,Юникор Недвижимость,real_estate_agent,Балашиха,sale,flat,7,11,1,16.6,3600000.0,1976,Вторичка,1 балкон,Наземная,10.0,4.0,2.7,unknown,проспект Ленина,Салтыковская,unknown,216867.46987951806
1258,СТРОЙИНВЕСТ,real_estate_agent,Балашиха,sale,flat,11,17,1,37.2,6335012.0,2022,Вторичка,1 лоджия,unknown,13.8,11.9,2.75,unknown,проспект Героев,Железнодорожная,unknown,170296.02150537632
1259,Маршрут Построен,real_estate_agent,Балашиха,sale,flat,7,9,1,35.0,5100000.0,1994,Вторичка,1 лоджия,unknown,16.5,8.0,2.7,unknown, Пионерская,Железнодорожная,unknown,145714.2857142857
1260,СЕТЬСТРОЙ БАЛАШИХА,developer,Балашиха,sale,flat,14,17,1,30.0,6210000.0,2024,Новостройка,unknown,unknown,12.2,11.4,2.72,г. Балашиха,ул. Твардовского,Новокосино,Квартал Светлый ЖК,207000.0
1261,Асмик Алиханян,realtor,Балашиха,sale,flat,4,16,1,43.3,5499000.0,2006,Вторичка,1 балкон,Наземная,22.0,9.5,2.9,unknown, Майкла Лунна,Щёлковская,unknown,126997.69053117784
1262,ID 1231948,homeowner,Балашиха,sale,flat,11,17,1,38.0,6000000.0,2013,Вторичка,1 лоджия,Наземная,17.0,9.0,2.7,unknown,unknown,Щёлковская,Щитниково Изумрудный,157894.73684210525
1263,Самолет,developer,Балашиха,sale,flat,11,13,1,33.52,5774188.0,2026,Новостройка,1 балкон,Открытая,9.4,15.9,3.0,unknown,unknown,Салтыковская,Квартал Авиаторов ЖК,172260.9785202864
1264,Октава-Недвижимость,real_estate_agent,Балашиха,sale,flat,4,5,1,31.0,4300000.0,2014,Вторичка,1 балкон,unknown,18.0,7.0,2.7,unknown, Юбилейная,Железнодорожная,unknown,138709.67741935485
1265,CENTURY 21 Перспектива,real_estate_agent,Балашиха,sale,flat,4,18,1,39.0,6250000.0,2015,Вторичка,1 лоджия,Наземная,18.0,8.2,2.8,unknown, Маяковского,Железнодорожная,unknown,160256.41025641025
1267,Владис,real_estate_agent,Балашиха,sale,flat,16,27,1,49.9,8200000.0,2015,Вторичка,unknown,Наземная,19.5,12.8,2.7,unknown,проспект Ленина,Салтыковская,Жемчужина Виктории,164328.65731462926
1268,ID 123257791,homeowner,Балашиха,sale,flat,13,17,1,39.5,6470000.0,2013,Вторичка,1 балкон,Наземная,18.9,9.7,2.66,unknown,Советская ,Салтыковская,unknown,163797.46835443037
1269,Самолет,developer,Балашиха,sale,flat,18,24,1,38.0,6214976.0,2026,Новостройка,unknown,Открытая,11.7,18.3,3.0,unknown,unknown,Салтыковская,Квартал Авиаторов ЖК,163552.0
1272,Наталья Парфирьева,realtor,Балашиха,sale,flat,3,9,1,36.6,5800000.0,1979,Вторичка,1 лоджия,Наземная,17.9,7.5,2.5,unknown, Пролетарская,Железнодорожная,unknown,158469.94535519124
1274,Октябрьская,real_estate_agent,Балашиха,sale,flat,7,17,1,24.0,5900000.0,2014,Вторичка,unknown,unknown,11.0,8.0,2.7,unknown, Реутовская,Реутов,Измайловский лес,245833.33333333334
1275,ВАШ ДОМ,real_estate_agent,Балашиха,sale,flat,3,21,1,34.6,5500000.0,2011,Вторичка,1 лоджия,Наземная,15.0,9.7,2.8,unknown, Граничная,Ольгино,unknown,158959.53757225434
1276,Самолет,developer,Балашиха,sale,flat,15,24,1,43.71,6789299.0,2026,Новостройка,unknown,Открытая,13.0,17.7,3.0,unknown,unknown,Салтыковская,Квартал Авиаторов ЖК,155325.98947609242
1277,ID 112062592,realtor,Балашиха,sale,flat,4,17,1,37.7,6900000.0,2010,Вторичка,1 лоджия,Наземная,18.0,8.0,2.74,unknown, Кольцевая,Щёлковская,Щитниково Янтарный,183023.87267904507
1278,Недвижимость на Советской,real_estate_agent,Балашиха,sale,flat,5,25,1,44.0,5800000.0,2014,Вторичка,unknown,Наземная,17.0,11.0,2.7,unknown, Чистопольская,Щёлковская,Эдельвейс-Комфорт,131818.18181818182
1280,ID 173853,unknown,Балашиха,sale,flat,15,18,1,38.0,7800000.0,2013,Вторичка,1 лоджия,Наземная,22.0,10.0,2.8,unknown, Маяковского,Железнодорожная,unknown,205263.15789473685
1281,Самолет,developer,Балашиха,sale,flat,8,17,1,39.04,6305155.0,2026,Новостройка,1 балкон,Открытая,18.8,11.4,3.0,unknown,unknown,Салтыковская,Квартал Авиаторов ЖК,161504.99487704918
1282,unknown,unknown,Домодедово,sale,flat,2,17,3,66.87,11769120.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.82,unknown,unknown,Остафьево,Домодедово Парк ЖК,176000.0
1283,RealLife,real_estate_agent,Домодедово,sale,flat,5,5,3,62.0,7150000.0,2014,Вторичка,1 лоджия,unknown,37.1,6.1,2.7,unknown, Талалихина,Подольск,unknown,115322.58064516129
1284,ID 387926,homeowner,Домодедово,sale,flat,7,16,3,77.3,11700000.0,2008,Вторичка,"1 лоджия, 2 балкона",unknown,48.0,9.3,2.7,unknown, Лунная,Подольск,unknown,151358.34411384218
1285,unknown,unknown,Домодедово,sale,flat,7,12,3,80.25,10994250.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,137000.0
1287,Владис,real_estate_agent,Домодедово,sale,flat,7,10,3,64.0,8300000.0,1994,Вторичка,1 лоджия,Наземная,48.0,11.0,2.7,unknown, Корнеева,Подольск,unknown,129687.5
1288,unknown,unknown,Домодедово,sale,flat,4,12,3,76.5,9715500.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,127000.0
1290,ID 57513,realtor,Домодедово,sale,flat,3,9,3,62.5,7900000.0,1983,Вторичка,1 балкон,Наземная,36.0,9.0,2.7,unknown, Корнеева,Подольск,unknown,126400.0
1291,unknown,unknown,Домодедово,sale,flat,7,17,3,73.07,13137986.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.82,unknown,unknown,Остафьево,Домодедово Парк ЖК,179800.00000000003
1292,ЮржилСервис,real_estate_agent,Домодедово,sale,flat,7,16,3,80.0,12800000.0,2009,Вторичка,1 лоджия,Наземная,45.0,15.0,2.7,unknown, Лунная,Подольск,unknown,160000.0
1293,ID 63775172,homeowner,Домодедово,sale,flat,3,5,3,59.2,5150000.0,1977,Вторичка,1 балкон,Наземная,44.9,6.7,2.7,мкр. Барыбино, Южная,unknown,unknown,86993.24324324324
1294,Премиум,real_estate_agent,Домодедово,sale,flat,7,10,3,61.5,8400000.0,2014,Вторичка,1 лоджия,unknown,38.0,8.5,2.7,мкр. Авиационный,проспект Академика Туполева,unknown,unknown,136585.36585365853
1295,Лаура Есимова,realtor,Домодедово,sale,flat,4,5,2,44.4,5200000.0,1976,Вторичка,1 балкон,Наземная,27.8,6.0,2.7,unknown, 1-я Коммунистическая,Подольск,unknown,117117.11711711712
1296,ID 123570128,homeowner,Домодедово,sale,flat,3,22,2,57.8,8500000.0,2016,Вторичка,unknown,Наземная,38.0,12.0,2.7,unknown, Курыжова,Подольск,Домодедовский,147058.82352941178
1297,unknown,unknown,Домодедово,sale,flat,13,17,2,63.98,11490808.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.82,unknown,unknown,Остафьево,Домодедово Парк ЖК,179600.0
1298,DmD,real_estate_agent,Домодедово,sale,flat,1,5,2,42.0,5650000.0,2014,Вторичка,unknown,Открытая,28.0,8.0,2.7,мкр. Авиационный, Ильюшина,unknown,unknown,134523.80952380953
1299,ID 123753721,homeowner,Домодедово,sale,flat,4,15,2,55.4,10700000.0,2008,Вторичка,1 лоджия,Наземная,37.4,7.2,2.7,unknown, Лунная,Подольск,unknown,193140.79422382673
1300,unknown,unknown,Домодедово,sale,flat,9,17,2,57.6,9118080.0,2023,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown, Современников,Силикатная,Домодедово парк,158300.0
1301,Елена Максимченко,realtor,Домодедово,sale,flat,5,5,2,44.0,5600000.0,1966,Вторичка,1 балкон,Наземная,29.5,6.0,2.7,unknown,Зеленая ,Подольск,unknown,127272.72727272728
1302,Самолет Плюс - Домодедово,real_estate_agent,Домодедово,sale,flat,1,4,2,43.3,5900000.0,1961,Вторичка,unknown,unknown,26.0,6.0,2.6,unknown,Кутузовский проезд,Подольск,unknown,136258.66050808315
1303,unknown,unknown,Домодедово,sale,flat,2,12,2,72.92,9734820.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,133500.0
1304,ДИАЛЬ-НЕДВИЖИМОСТЬ,real_estate_agent,Домодедово,sale,flat,5,9,2,54.1,8490000.0,1979,Вторичка,1 лоджия,Наземная,29.6,8.0,2.7,мкр. Авиационный, Королева,unknown,unknown,156931.60813308688
1305,ID 789676,homeowner,Домодедово,sale,flat,2,17,2,65.0,10950000.0,2009,Вторичка,unknown,Наземная,22.0,13.0,2.8,unknown, Кирова,Подольск,unknown,168461.53846153847
1306,unknown,unknown,Домодедово,sale,flat,1,12,2,59.8,8013200.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,134000.0
1307,Наталья Юрьевна Павлова,realtor,Домодедово,sale,flat,2,5,2,36.1,3490000.0,1988,Вторичка,1 балкон,Наземная,22.0,6.0,2.7,мкр. Барыбино, Южная,unknown,unknown,96675.9002770083
1308,Бест офис на Таганской,real_estate_agent,Домодедово,sale,flat,5,17,2,64.0,10100000.0,2014,Вторичка,1 лоджия,unknown,37.1,10.4,2.7,unknown, Лунная,Подольск,unknown,157812.5
1309,unknown,unknown,Домодедово,sale,flat,2,12,2,63.97,8539995.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,133500.0
1310,RealLife,real_estate_agent,Домодедово,sale,flat,12,12,2,60.2,11000000.0,2012,Вторичка,1 лоджия,Открытая,35.0,10.0,2.7,unknown, Кирова,Подольск,unknown,182724.25249169435
1311,ID 121304214,official_representative,Домодедово,sale,flat,2,5,2,47.8,5100000.0,1974,Вторичка,1 балкон,Наземная,22.0,8.0,2.5,Белые Столбы мкр, Авенариуса,unknown,unknown,106694.56066945607
1312,ЮржилСервис,real_estate_agent,Домодедово,sale,flat,5,10,2,64.4,13900000.0,2014,Вторичка,1 лоджия,unknown,35.0,12.7,2.7,unknown, Кирова,Подольск,unknown,215838.50931677016
1313,Совкомбанк,official_representative,Домодедово,sale,flat,1,17,2,58.8,7900000.0,2015,Вторичка,unknown,Наземная,22.0,8.0,2.7,unknown, Курыжова,Подольск,Новое Домодедово,134353.74149659864
1314,Никита Пискун,realtor,Домодедово,sale,flat,2,4,2,41.0,5700000.0,1965,Вторичка,1 балкон,Наземная,31.0,6.0,2.7,мкр. Авиационный, Ильюшина,unknown,unknown,139024.39024390245
1315,ID 12653438,unknown,Домодедово,sale,flat,6,10,2,61.0,9900000.0,2014,Вторичка,2 балкона,Наземная,32.5,10.8,2.7,unknown, Курыжова,Подольск,Новое Домодедово,162295.0819672131
1316,Этажи,real_estate_agent,Домодедово,sale,flat,6,10,2,66.0,11700000.0,1998,Вторичка,1 лоджия,unknown,35.7,8.7,2.7,unknown,Рабочая ,Подольск,unknown,177272.72727272726
1317,unknown,unknown,Домодедово,sale,flat,13,17,1,28.13,4557960.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.82,unknown,unknown,Остафьево,Домодедово Парк ЖК,162031.9943121223
1318,EstateLiga,real_estate_agent,Домодедово,sale,flat,14,17,1,24.5,3900000.0,2017,Вторичка,unknown,Открытая,15.5,4.0,2.7,unknown, Курыжова,Подольск,Домодедовский,159183.67346938775
1319,ID 13554284,realtor,Домодедово,sale,flat,2,17,1,25.4,3450000.0,2023,Вторичка,1 лоджия,Наземная,16.7,8.7,3.0,unknown, Современников,Подольск,Домодедово парк,135826.7716535433
1320,unknown,unknown,Домодедово,sale,flat,12,17,1,29.37,5750646.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.82,unknown,unknown,Остафьево,Домодедово Парк ЖК,195800.0
1321,Golden Home,real_estate_agent,Домодедово,sale,flat,3,17,1,21.82,2600000.0,2024,Новостройка,unknown,unknown,11.8,5.0,2.7,unknown, Ледовская,Подольск,Солнечный,119156.73693858845
1322,Маргарита Медведева,realtor,Домодедово,sale,flat,9,17,1,24.5,3750000.0,2016,Вторичка,unknown,Наземная,22.0,8.7,2.7,unknown, Курыжова,Подольск,Домодедовский,153061.22448979592
1323,ID 96463264,homeowner,Домодедово,sale,flat,5,17,1,28.1,4600000.0,2018,Вторичка,unknown,Наземная,22.0,5.0,2.7,unknown, Южнодомодедовская,Подольск,Домодедовский,163701.06761565836
1324,EstateLiga,real_estate_agent,Домодедово,sale,flat,8,17,1,28.1,4000000.0,2016,Вторичка,unknown,Открытая,16.0,4.0,2.7,unknown, Южнодомодедовская,Подольск,Домодедовский,142348.75444839857
1325,ID 121508724,homeowner,Домодедово,sale,flat,4,8,1,42.0,6750000.0,2010,Вторичка,1 балкон,Наземная,30.0,12.0,2.8,unknown, Лунная,Подольск,unknown,160714.2857142857
1326,ЕГСН Продажа,real_estate_agent,Домодедово,sale,flat,9,17,1,24.0,3650000.0,2014,Вторичка,unknown,unknown,22.0,9.0,2.7,unknown, Курыжова,Подольск,Домодедовский,152083.33333333334
1327,Юлия Озерова,realtor,Домодедово,sale,flat,17,19,1,25.7,4350000.0,2017,Вторичка,unknown,Наземная,22.0,8.7,2.7,unknown, Курыжова,Подольск,Домодедовский,169260.70038910507
1328,Максимум,real_estate_agent,Домодедово,sale,flat,10,17,1,18.24,2480000.0,2024,Вторичка,unknown,unknown,22.0,8.7,2.7,мкр. Востряково, Ледовская,unknown,unknown,135964.91228070177
1329,Татьяна Никифорова,realtor,Домодедово,sale,flat,9,17,1,24.0,4200000.0,2017,Вторичка,unknown,Наземная,22.0,8.7,2.7,unknown, Курыжова,Подольск,Домодедовский,175000.0
1330,Наталия Каменская,realtor,Домодедово,sale,flat,12,19,1,28.8,4700000.0,2017,Вторичка,unknown,Наземная,20.8,8.7,2.7,unknown, Южнодомодедовская,Подольск,Домодедовский,163194.44444444444
1331,unknown,unknown,Домодедово,sale,flat,5,12,1,38.5,5698000.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,148000.0
1332,ID 22653,real_estate_agent,Домодедово,sale,flat,8,20,1,39.5,5275000.0,2025,Новостройка,1 лоджия,unknown,16.0,9.4,2.7,unknown,unknown,unknown,Космос,133544.30379746837
1333,Центр дистанционных торгов,real_estate_agent,Домодедово,sale,flat,1,1,1,48.3,2430000.0,2014,Вторичка,unknown,unknown,22.0,8.7,2.7,Белые Столбы мкр, Авенариуса,unknown,unknown,50310.55900621118
1334,unknown,unknown,Домодедово,sale,flat,5,12,1,28.85,4457325.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,154500.0
1335,МИЭЛЬ,real_estate_agent,Домодедово,sale,flat,8,17,1,42.5,5900000.0,2015,Вторичка,2 балкона,unknown,17.0,10.0,2.7,unknown, Текстильщиков,Подольск,unknown,138823.5294117647
1336,ID 17732,realtor,Домодедово,sale,flat,1,5,1,30.3,3200000.0,1977,Вторичка,unknown,unknown,19.0,6.0,2.6,мкр. Барыбино, Агрохимиков,unknown,unknown,105610.56105610561
1337,unknown,unknown,Домодедово,sale,flat,12,12,1,38.3,6530150.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.85,unknown,unknown,Домодедовская,Космос ЖК,170500.0
1338,Александр Кудинов,realtor,Домодедово,sale,flat,14,17,1,38.3,5700000.0,2013,Вторичка,2 лоджии,unknown,20.0,11.0,2.7,unknown, Гагарина,Подольск,unknown,148825.06527415145
1339,RealLife,real_estate_agent,Домодедово,sale,flat,7,17,1,38.0,5700000.0,2014,Вторичка,2 балкона,unknown,12.0,9.0,2.7,unknown, Текстильщиков,Подольск,Мкр. Западный,150000.0
1340,unknown,unknown,Домодедово,sale,flat,2,17,1,33.5,6264500.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.82,unknown,unknown,Остафьево,Домодедово Парк ЖК,187000.0
1341,Московский Риэлторский Центр,real_estate_agent,Домодедово,sale,flat,9,10,1,36.4,5700000.0,2014,Вторичка,1 лоджия,unknown,19.0,10.0,2.64,unknown, Курыжова,Подольск,Новое Домодедово,156593.4065934066
